val_image,train_image,similarity
2e185a4e-b22c-4018-a7e2-db3ded5035a9.jpg_0.jpg,35bf24ec-29e8-4901-bea5-b159eafb4ef5.jpg_0.jpg,0.9626
34185eaf-23f2-4be7-ab44-7cc763389b08.jpg_0.jpg,14112b69-1f80-46ef-a825-e090a633f94c.jpg_0.jpg,0.9622
424a20ab-e34a-4d68-a494-189281adce88.jpg_0.jpg,bf78de67-25aa-43e7-9dc1-fe165a8eb3db.jpg_0.jpg,0.9620
1e957315-68a3-4f4e-887f-60f82a6d8d98.jpg_0.jpg,53b24765-b718-4feb-bdda-13886ec9a522.jpg_0.jpg,0.9619
2e185a4e-b22c-4018-a7e2-db3ded5035a9.jpg_0.jpg,8501beb1-3d83-48c1-94b8-8edfac267a8d.jpg_0.jpg,0.9616
21e02796-9878-4e07-a0ea-0eba1d7e5eab.jpg_0.jpg,e81e5f9d-f892-4636-96de-b2f7ceb69e06.jpg_0.jpg,0.9616
3b56cf3c-afbb-4560-a9c6-9e61a63311d8.jpg_1.jpg,5890bb24-62e4-4be6-bbc0-8fcc709d56ee.jpg_0.jpg,0.9614
21e02796-9878-4e07-a0ea-0eba1d7e5eab.jpg_0.jpg,2205f22c-e812-4031-9e2f-22062b25178d.jpg_0.jpg,0.9613
46582590-0272-4b18-a50f-b31f32798d67.jpg_0.jpg,0616c93f-a2b7-4b27-96a3-ca1634dc7755.jpg_1.jpg,0.9610
9fdd30e5-b8ef-4d43-94b4-56bc1bb28dc3.jpg_0.jpg,8fb49288-ad73-462e-8807-21853a36e5d9.jpg_0.jpg,0.9607
21e02796-9878-4e07-a0ea-0eba1d7e5eab.jpg_0.jpg,add8f9bb-cbff-435c-a1f9-fcf656adb902.jpg_0.jpg,0.9607
d3ac29f1-7c4f-4e23-8f68-5cbc6a948b9b.jpg_0.jpg,eb561209-6dee-42ae-b906-1fb6d89ce58a.jpg_0.jpg,0.9605
0e87aa37-8bf9-4928-92b3-3d1abe1a0432.jpg_0.jpg,4f7f5bf2-22ca-446f-9c6b-c21339211374.jpg_0.jpg,0.9605
46582590-0272-4b18-a50f-b31f32798d67.jpg_0.jpg,add46e72-c5e7-4a91-bd1c-6a9d590f51e3.jpg_1.jpg,0.9601
f7eb9e4d-a6de-4cfe-aa98-66d082108abd.jpg_0.jpg,5eba66b8-b18c-4380-821b-d9f5f7841721.jpg_0.jpg,0.9601
9aaaaecc-193c-4f9a-88c1-b315ebb6f565.jpg_2.jpg,933ef0db-7517-4341-af9b-6130b2c788ce.jpg_0.jpg,0.9601
e8fe965b-3f6d-42a3-8ee1-f8dfc47e1ccc.jpg_1.jpg,71d88b6c-5a96-4f29-9efc-2668895d15be.jpg_1.jpg,0.9600
