base_name,original_filename,img_h,img_w,ssim_whole,ssim_edit_region,edit_region_pct,ssim_level,ssim_tier
74f9763c-9685-4beb-9fc2-cbd109fe26da_1,74f9763c-9685-4beb-9fc2-cbd109fe26da_1.jpg,512,360,0.9953,0.96355,11.9,⚠️  MILD,mild
750b41d1-53ec-4187-a705-f8a375f30bf7_0,750b41d1-53ec-4187-a705-f8a375f30bf7_0.jpg,512,348,0.99078,0.88658,7.66,🔶 MODERATE,moderate
750d3aa2-6764-468b-8dd8-0ed0a20e8890_0,750d3aa2-6764-468b-8dd8-0ed0a20e8890.jpg_0.jpg,512,356,0.99329,0.93688,8.84,⚠️  MILD,mild
7510fd5d-bcde-4eff-99f0-cfe7d4ff81dd_1,7510fd5d-bcde-4eff-99f0-cfe7d4ff81dd.jpg_1.jpg,512,403,0.9985,0.98487,6.84,✅ NEGLIGIBLE,negligible
7528b7dd-f0fe-4183-81d4-7ae07f08108b_0,7528b7dd-f0fe-4183-81d4-7ae07f08108b_0.jpg,476,512,0.98823,0.88448,9.76,🔶 MODERATE,moderate
752a72e9-3175-4561-80fc-54556786cc31_2,752a72e9-3175-4561-80fc-54556786cc31.jpg_2.jpg,512,412,0.9911,0.92035,9.46,⚠️  MILD,mild
752adf3b-bf03-4704-9016-776719fa6532_2,752adf3b-bf03-4704-9016-776719fa6532.jpg_2.jpg,512,392,0.99172,0.92452,9.55,⚠️  MILD,mild
752adf3b-bf03-4704-9016-776719fa6532_3,752adf3b-bf03-4704-9016-776719fa6532.jpg_3.jpg,512,436,0.99431,0.95373,9.75,⚠️  MILD,mild
753f00ba-f184-4ea6-8189-68cb24819757_0,753f00ba-f184-4ea6-8189-68cb24819757.jpg_0.jpg,512,381,0.99609,0.94951,6.25,⚠️  MILD,mild
7545b1f3-a8f5-4607-b2a8-434484515cc4_0,7545b1f3-a8f5-4607-b2a8-434484515cc4.jpg_0.jpg,512,398,0.9991,0.98421,4.46,✅ NEGLIGIBLE,negligible
754be1d6-5032-416a-b2d2-ef0860691f1d_0,754be1d6-5032-416a-b2d2-ef0860691f1d.jpg_0.jpg,512,383,0.99347,0.9225,7.41,⚠️  MILD,mild
